specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 68763,Cervidae,Muntiacus atherodes pleiharicus ,Muntiacus atherodes,,4.177,4.247,4.234,5.047,5.124,5.342,6.158,6.232,6.306,7.196,7.27,7.272,8.235,8.24,8.088,8.309,8.013,8.161
FMNH 68761,Cervidae,Muntiacus atherodes pleiharicus ,Muntiacus atherodes,,3.916,4.293,4.518,4.97,5.196,5.12,5.874,6.025,5.723,7.747,7.406,7.37,8.584,8.826,8.835,8.358,8.208,8.208
FMNH 26712,Cervidae,Muntiacus muntjak vaginalis,Muntiacus muntjak,,4.622,4.919,4.693,5.905,5.979,5.468,7.342,7.19,7.266,7.796,7.847,7.575,9.234,9.085,9.396,9.082,9.083,9.082
FMNH 104415,Cervidae,Muntiacus muntjak vaginalis,Muntiacus muntjak,,4.018,4.041,4.112,5.415,5.307,5.206,6.31,6.378,6.243,8.497,8.419,8.569,9.547,9.715,9.396,9.396,9.79,9.396
FMNH 99540,Cervidae,Muntiacus muntjak malabaricus,Muntiacus muntjak,,3.579,3.43,3.43,4.623,4.251,4.251,5.071,5.145,5.071,6.562,6.637,6.488,7.159,7.233,6.935,7.235,7.308,7.532
FMNH 99542,Cervidae,Muntiacus muntjak malabaricus,Muntiacus muntjak,,4.299,4.43,4.526,4.731,4.644,4.954,6.068,6.219,5.848,7.043,6.968,7.344,7.792,7.867,7.567,8.317,8.016,8.391
FMNH 39491,Cervidae,Elaphodus cephalophus,Elaphodus cephalophus,,4.194,4.044,4.044,5.242,5.542,5.617,6.739,6.889,6.74,8.312,8.462,8.462,9.286,9.21,9.061,9.061,8.911,8.911
FMNH 1281,Cervidae,Elaphodus cephalophus,Elaphodus cephalophus,,4.033,4.031,4.254,5.597,5.523,5.672,6.643,6.866,6.568,6.568,6.866,6.568,8.657,8.583,8.583,9.03,8.753,8.956
FMNH 39493,Cervidae,Elaphodus cephalophus,Elaphodus cephalophus,,3.592,3.669,3.516,4.937,4.937,4.788,5.162,6.209,6.225,6.284,7.108,7.331,7.333,7.632,7.705,7.407,7.4063,7.556
FMNH 34554,Bovidae,Connochaetes gnou,Connochaetes gnou,,,,,6.89,7.43,7.43,9.6,9.42,9.6,13.23,11.96,12.68,11.23,11.42,11.6,12.14,11.23,11.6
