,occurrences.order_name,occurrences.family_name,occurrences.parent_name,occurrences.genus_name,taxon,reg,,
191,Artiodactyla,Camelidae,Camelidae,Nothokemas,Nothokemas floridanus,ruminantia,,
192,Artiodactyla,Camelidae,Camelidae,Nothokemas,Nothokemas hidalgensis,ruminantia,,
193,Artiodactyla,Camelidae,Camelidae,Nothokemas,Nothokemas waldropi,ruminantia,,
195,Artiodactyla,Camelidae,Camelidae,Oxydactylus,Oxydactylus benedentatus,ruminantia,,
196,Artiodactyla,Camelidae,Camelidae,Oxydactylus,Oxydactylus lacota,ruminantia,,
197,Artiodactyla,Camelidae,Camelidae,Oxydactylus,Oxydactylus longipes,ruminantia,,
198,Artiodactyla,Camelidae,Camelidae,Oxydactylus,Oxydactylus longirostris,ruminantia,,
199,Artiodactyla,Camelidae,Camelidae,Oxydactylus,Oxydactylus lulli,ruminantia,,
200,Artiodactyla,Camelidae,Camelidae,Oxydactylus,Oxydactylus wyomingensis,ruminantia,,
202,Artiodactyla,Camelidae,Camelidae,Paralabis,Paralabis cedrensis,ruminantia,,
206,Artiodactyla,Camelidae,Camelidae,Paratylopus,Paratylopus labiatus,ruminantia,,
207,Artiodactyla,Camelidae,Camelidae,Paratylopus,Paratylopus primaevus,ruminantia,,
208,Artiodactyla,Camelidae,Camelidae,Pliauchenia,Pliauchenia magnifontis,ruminantia,,
209,Artiodactyla,Camelidae,Camelidae,Poebrodon,Poebrodon californicus,ruminantia,,
210,Artiodactyla,Camelidae,Camelidae,Poebrodon,Poebrodon kayi,ruminantia,,
211,Artiodactyla,Camelidae,Camelidae,Priscocamelus,Priscocamelus wilsoni,ruminantia,,
212,Artiodactyla,Camelidae,Camelidae,Procamelus,Procamelus grandis,ruminantia,,
213,Artiodactyla,Camelidae,Camelidae,Procamelus,Procamelus leptocolon,ruminantia,,
214,Artiodactyla,Camelidae,Camelidae,Procamelus,Procamelus occidentalis,ruminantia,,
215,Artiodactyla,Camelidae,Camelidae,Protolabis,Protolabis barstowensis,ruminantia,,
216,Artiodactyla,Camelidae,Camelidae,Protolabis,Protolabis coartatus,ruminantia,,
217,Artiodactyla,Camelidae,Camelidae,Protolabis,Protolabis gracilis,ruminantia,,
218,Artiodactyla,Camelidae,Camelidae,Protolabis,Protolabis heterodontus,ruminantia,,
219,Artiodactyla,Camelidae,Camelidae,Protolabis,Protolabis saxeus,ruminantia,,
226,Artiodactyla,Camelidae,Camelidae,Tanymykter,Tanymykter brachyodontus,ruminantia,,
227,Artiodactyla,Camelidae,Camelidae,Titanotylopus,Titanotylopus nebraskensis,ruminantia,,
