specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 60471,Bovidae,Antilocapra americana americana,Antilocapra americana,Unknown ,5.182,5.147,5.423,7.273,7.88,7.383,9.226,9.093,8.976,11.929,11.815,11.7,14.541,14.655,14.767,23.456,23.169,23.385
FMNH 74242,Bovidae,Antilocapra americana americana,Antilocapra americana,Female,7.071,7.265,7.415,9.169,9.216,8.729,10.363,10.686,10.587,12.213,12.48,12.626,14.531,14.485,13.897,20.646,20.686,20.986
FMNH 13877,Bovidae,Antilocapra americana mexicana,Antilocapra americana,Male ,6.638,7.072,6.746,8.378,8.373,8.479,11.465,11.351,11.583,12.07,12.351,12.56,14.799,15.142,14.759,19.28,19.795,19.803
FMNH 13878,Bovidae,Antilocapra americana mexicana,Antilocapra americana,Male,6.255,6.358,7.178,8.827,8.513,8.618,10.159,9.959,9.848,11.493,11.329,11.422,13.38,13.48,13.436,18.795,18.301,18.459
FMNH 18807,Bovidae,Antilope cervicapra,Antilope cervicapra,Female,,,,6.986,6.999,7.214,8.571,8.664,8.743,11.238,11.203,11.222,15.426,15.566,15.791,22.137,22.43,22.431
FMNH 25730,Bovidae,Antilope cervicapra,Antilope cervicapra,Female,,,,6.086,6.118,6.331,8.41,8.554,8.556,12.241,12.645,12.497,14.467,14.749,14.788,20.686,20.978,20.446
FMNH 30260,Bovidae,Antilope cervicapra,Antilope cervicapra,Female,,,,6.432,6.444,6.799,6.73,6.766,6.491,10.525,10.525,10.644,13.455,13.13,13.614,20.978,20.874,21.001
FMNH 18850,Bovidae,Bison Bison,Bison bison,Unknown,11.81,11.81,12.322,18.2,18.902,18.945,22.472,21.745,22.32,26.229,25.989,25.938,31.063,30.974,31.027,41.12,41.685,41.657
FMNH 21513,Bovidae,Bison bison bison,Bison bison,Male,15.955,16.098,15.222,19.78,19.606,19.43,21.616,21.936,22.004,29.969,29.731,30.159,34.736,33.95,34.206,46.954,46.488,46.554
FMNH 60191,Bovidae,Bison bonasus,Bison bonasus,Male,11.119,11.124,10.95,18.01,18.167,17.954,18.816,19.122,18.799,21.276,21.061,20.929,27.12,27.214,27.127,42.14,42.123,42.443
