,LIDNUM,NAME,LOC_SYNONYMS,COUNTRY,STATE,COUNTY,BFA_MAX,BFA_MIN,MAX_AGE,MIN_AGE,CHRON,
10610,10449,Central Great Plains CP113B,CP113B,United States of America,NE,Banner,clarendonian-1,clarendonian-3,12.57,9.07,Cl1-Cl3,
10611,10450,Central Great Plains CP113B2,CP113B2,United States of America,NE,,hemphillian-2,hemphillian-2,7.59,6.88,Hh2,
10614,10451,Central Great Plains CP113B3,CP113B3,United States of America,NE,,hemphillian-3,hemphillian-3,6.88,5.91,Hh3,
10615,10452,Central Great Plains CP113C,CP113C,United States of America,NE,Shannon,hemphillian-4,hemphillian-4,5.91,4.91,Hh4,
10616,10453,Central Great Plains CP114A,CP114A,United States of America,NE,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
10710,10454,Central Great Plains CP114B,CP114B,United States of America,NE,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
10817,10455,Central Great Plains CP114C,CP114C,United States of America,NE,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
10875,10456,Central Great Plains CP114D,CP114D,United States of America,NE,,clarendonian-1,clarendonian-1,12.57,12.11,Cl1,
10943,10457,Central Great Plains CP115A,CP115A,United States of America,NE,,clarendonian-2,clarendonian-2,12.11,10.09,Cl2,
10951,10458,Central Great Plains CP115B,CP115B,United States of America,NE,,clarendonian-3,clarendonian-3,10.09,9.07,Cl3,
10980,10459,Central Great Plains CP115C,CP115C,United States of America,NE,,hemphillian-2,hemphillian-2,7.59,6.88,Hh2,
11008,10460,Central Great Plains CP115D,CP115D,United States of America,NE,,hemphillian-3,hemphillian-3,6.88,5.91,Hh3,
11026,10462,Central Great Plains CP116A,CP116A,United States of America,NE,,clarendonian-2,clarendonian-2,12.11,10.09,Cl2,
11090,10463,Central Great Plains CP116A0,CP116A0,United States of America,NE,,barstovian-2,barstovian-2,14.78,12.57,Ba2,
11091,10464,Central Great Plains CP116AA,CP116AA,United States of America,NE,Brown/Sheridan,clarendonian-2,clarendonian-3,12.11,9.07,Cl2-Cl3,
11093,10465,Central Great Plains CP116B,CP116B,United States of America,NE,,clarendonian-2,clarendonian-3,12.11,9.07,Cl2-Cl3,
11195,10461,Central Great Plains CP116C,CP116C,United States of America,NE,,hemphillian-1,hemphillian-1,9.07,7.59,Hh1,
11233,10466,Central Great Plains CP116D,CP116D,United States of America,NE,Frontier,hemphillian-2,hemphillian-2,7.59,6.88,Hh2,
11272,10467,Central Great Plains CP116E,CP116E,United States of America,NE,,hemphillian-3,hemphillian-3,6.88,5.91,Hh3,
11310,10468,Central Great Plains CP116F,CP116F,United States of America,NE,,hemphillian-4,hemphillian-4,5.91,4.91,Hh4,
11368,10469,Central Great Plains CP116II,CP116II,United States of America,NE,,hemphillian-1,hemphillian-4,9.07,4.91,?Hh1-Hh4,
11370,10470,Central Great Plains CP116III,CP116III,United States of America,NE,,hemphillian-3,hemphillian-3,6.88,5.91,Hh3,
11380,10471,Central Great Plains CP117A,CP117A,United States of America,NE,,blancan-early,blancan-early,4.91,2.63,E Bl,
11397,10472,Central Great Plains CP117B,CP117B,United States of America,NE,,blancan-early,blancan-early,4.91,2.63,E Bl,
11423,10473,Central Great Plains CP118,CP118,United States of America,NE,,blancan-early,blancan-early,4.91,2.63,E Bl,
11462,10474,Central Great Plains CP119,CP119,United States of America,NE,,blancan-late,blancan-late,2.63,1.8,L Bl,
11465,10152,Central Great Plains CP11IIA,CP11IIA,United States of America,WY,,puercan-1,puercan-1,66.04,65.83,Pu1,
11479,10153,Central Great Plains CP11IIB,CP11IIB,United States of America,WY,,puercan-1,puercan-1,66.04,65.83,Pu1,
11488,10154,Central Great Plains CP11IIC,CP11IIC,United States of America,WY,,puercan-2,puercan-2,65.83,64.1,Pu2,
11492,10155,Central Great Plains CP11IID,CP11IID,United States of America,WY,,puercan-2,puercan-2,65.83,64.1,Pu2,
11503,10156,Central Great Plains CP11IIE,CP11IIE,United States of America,WY,,puercan-2,puercan-2,65.83,64.1,Pu2,
11511,10157,Central Great Plains CP11IIF,CP11IIF,United States of America,WY,,puercan-3,puercan-3,64.1,64.81,Pu3,
11522,10158,Central Great Plains CP11IIG,CP11IIG,United States of America,WY,,puercan-3,puercan-3,64.1,64.81,Pu3,
11536,10159,Central Great Plains CP11IIH,CP11IIH,United States of America,WY,,puercan-3,puercan-3,64.1,64.81,Pu3,
11537,10475,Central Great Plains CP120,CP120,United States of America,NE,,blancan-late,blancan-late,2.63,1.8,L Bl,
11539,10476,Central Great Plains CP121,CP121,United States of America,NE,,blancan-late,blancan-late,2.63,1.8,L Bl,
11566,10478,Central Great Plains CP123A,CP123A,United States of America,KS,,clarendonian-2,clarendonian-2,12.11,10.09,Cl2,
11574,10479,Central Great Plains CP123A0,CP123A0,United States of America,KS,,barstovian-2,barstovian-2,14.78,12.57,?Ba2,
11575,10480,Central Great Plains CP123B,CP123B,United States of America,KS,,clarendonian-3,clarendonian-3,10.09,9.07,Cl3,
11583,10481,Central Great Plains CP123C,CP123C,United States of America,KS,,hemphillian-1,hemphillian-1,9.07,7.59,Hh1,
11612,10482,Central Great Plains CP123C1,CP123C1,United States of America,KS,,hemphillian-2,hemphillian-2,7.59,6.88,Hh2,
11615,10483,Central Great Plains CP123D,CP123D,United States of America,KS,Sherman,hemphillian-3,hemphillian-3,6.88,5.91,Hh3,
11643,10484,Central Great Plains CP123E,CP123E,United States of America,KS,Seward,clarendonian-2,clarendonian-2,12.11,10.09,Cl2,
11670,10486,Central Great Plains CP123II,CP123II,United States of America,KS,Phillips,barstovian-2,clarendonian-2,14.78,10.09,Ba2-Cl2,
11671,10487,Central Great Plains CP124,CP124,United States of America,KS,Clark,clarendonian-2,clarendonian-2,12.11,10.09,Cl2,
11672,10488,Central Great Plains CP124II,CP124II,United States of America,KS,,clarendonian-3,clarendonian-3,10.09,9.07,Cl3,
11675,10489,Central Great Plains CP124III,CP124III,United States of America,KS,,clarendonian-3,clarendonian-3,10.09,9.07,Cl3,
11687,10490,Central Great Plains CP125,CP125,United States of America,KS,Smith,hemphillian-1,hemphillian-2,9.07,6.88,Hh1-Hh2,
11689,10491,Central Great Plains CP126,CP126,United States of America,KS,,hemphillian-2,hemphillian-2,7.59,6.88,Hh2,
11702,10492,Central Great Plains CP126II,CP126II,United States of America,KS,,hemphillian-3,hemphillian-4,6.88,4.91,Hh3-Hh4,
11703,10493,Central Great Plains CP127,CP127,United States of America,KS,,hemphillian-4,hemphillian-4,5.91,4.91,Hh4,
11713,10494,Central Great Plains CP128A,CP128A,United States of America,KS,,blancan-early,blancan-early,4.91,2.63,E Bl,
11753,10495,Central Great Plains CP128AA,CP128AA,United States of America,KS,,blancan-early,blancan-early,4.91,2.63,E Bl,
11789,10496,Central Great Plains CP128B,CP128B,United States of America,KS,,blancan-early,blancan-early,4.91,2.63,E Bl,
11820,10497,Central Great Plains CP128C,CP128C,United States of America,KS,,blancan-early,blancan-early,4.91,2.63,E Bl,
11884,10498,Central Great Plains CP128D,CP128D,United States of America,KS,,blancan-late,blancan-late,2.63,1.8,L Bl,
11893,10499,Central Great Plains CP129,CP129,United States of America,KS,,blancan-early,blancan-early,4.91,2.63,E Bl,
11894,10160,Central Great Plains CP12A,CP12A,United States of America,WY,,puercan-1,puercan-1,66.04,65.83,Pu1,
11905,10161,Central Great Plains CP12B,CP12B,United States of America,WY,,puercan-1,puercan-1,66.04,65.83,Pu1,
11907,10500,Central Great Plains CP130,CP130,United States of America,KS,,blancan-early,blancan-early,4.91,2.63,E Bl,
11926,10501,Central Great Plains CP131,CP131,United States of America,KS,Republic,blancan-late,blancan-late,2.63,1.8,L Bl,
11964,10502,Central Great Plains CP131II,CP131II,United States of America,KS,,blancan-late,blancan-late,2.63,1.8,L Bl,
