specimen,family,name,species,gender,p2.1,p2.2,p2.3,p3.1,p3.2,p3.3,p4.1,p4.2,p4.3,m1.1,m1.2,m1.3,m2.1,m2.2,m2.3,m3.1,m3.2,m3.3
FMNH 1363,Bovidae,Gazella soemmerringii berberana,Nanger soemmerringii,Male,4.19,3.932,4.217,5.947,5.641,6.045,6.702,6.702,6.683,9.036,9.023,8.898,9.59,9.722,9.788,9.348,9.351,9.273
FMNH 122718,Bovidae,Gazella soemmerringii soemmerringii,Nanger soemmerringii,Female,4.459,4.438,4.356,5.301,5.296,5.038,6.457,6.587,6.72,8.09,8.082,8.09,8.413,8.827,8.209,7.843,8.168,7.843
FMNH 1348,Bovidae,Gazella spekei,Gazella spekei,Female,3.049,2.966,3.013,4.077,3.944,4.215,4.608,4.608,4.388,6.008,6.033,5.931,5.962,5.646,5.62,5.663,5.299,5.351
FMNH 104008,Bovidae,Gazella subgutturosa subgutturosa,Gazella subgutturosa,Male,3.087,3.09,3.233,3.634,4.181,3.929,4.427,4.204,4.118,6.713,6.98,6.981,6.449,6.465,6.344,6.211,6.211,6.198
FMNH 29611,Bovidae,Gazella thomsoni,Eudorcas thomsonii,Male,3.236,3.416,3.569,4.652,4.289,4.652,5.602,5.73,5.494,6.529,6.452,6.576,7.044,6.959,7.106,6.931,6.931,6.983
FMNH 34425,Giraffidae,Giraffa camelopardalis angolensis,Giraffa camelopardalis,Female,11.321,11.633,11.549,16.99,17.106,17.298,21.614,22.048,21.818,21.57,21.829,21.963,23.263,23.433,23.933,24.85,25.345,24.968
FMNH 34426,Giraffidae,Giraffa camelopardalis angolensis,Giraffa camelopardalis,Male,10.882,11.367,11.282,21.542,21.442,21.113,24.062,24.062,24.019,22.022,22.573,22.384,23.763,23.71,24.052,26.493,26.229,26.715
FMNH 127880,Giraffidae,Giraffa camelopardalis tippelskirchif,Giraffa camelopardalis,Female,18.465,18.954,19.199,20.639,20.899,20.702,19.203,18.808,18.999,21.173,20.944,21.041,23.09,23.507,23.234,24.339,24.127,24.293
FMNH 152043,Giraffidae,Giraffa camelopardlis rothschildi,Giraffa camelopardalis,Male,15.414,15.453,15.431,19.837,19.5,19.865,20.656,20.845,20.624,22.636,22.247,22.426,22.628,22.622,22.42,22.426,22.642,22.828
FMNH 60540,Bovidae,Hemitragus jemlahiws,Hemitragus jemlahicus,Male,5.19,5.185,4.947,7.164,7.176,7.197,7.329,7.549,7.647,7.632,7.746,7.761,8.466,8.182,8.286,9.328,9.328,9.204
FMNH 7229 ,Bovidae,Hippotragulus equinus equinus,Hippotragus equinus,Male,10.775,10.603,11.058,12.748,12.788,12.953,14.539,14.896,14.538,14.724,15.876,14.874,14.849,14.935,14.608,13.494,13.517,13.517
FMNH 67020,Bovidae,Hippotragus equinus bakeri,Hippotragus equinus,Female,10.993,10.646,10.414,12.846,12.34,11.008,13.655,12.555,13.491,12.617,11.653,11.871,12.028,11.826,11.711,10.556,11.214,11.076
FMNH 34520,Bovidae,Hippotragus equinus cottoni,Hippotragus equinus,Male,8.583,7.979,8.641,10.335,9.996,10.165,12.538,12.034,12.2,14.066,14.193,14.3,14.313,13.905,14.3,14.103,13.615,13.899
FMNH 127939,Bovidae,Hippotragus equinus langheldi,Hippotragus equinus,Male,9.678,9.749,10.12,11.348,11.964,11.824,12.375,12.079,11.959,11.752,11.988,12.619,11.351,11.447,11.752,11.988,12.221,12.135
FMNH 34515,Bovidae,Hippotragus niger niger,Hippotragus niger,Male,7.028,6.143,6.126,8.408,8.649,8.529,9.984,10.213,10.213,11.982,12.854,11.911,12.775,13.066,12.846,12.751,12.137,13.203
FMNH 29545,Bovidae,Kobus ellipsiprymnus adolfifrideric,Kobus ellipsiprymnus,Male,6.634,6.759,6.681,8.936,8.89,8.6,10.875,11.021,10.541,12.495,12.772,13.184,14.189,13.735,14.459,13.719,12.451,13.175
FMNH 27199,Bovidae,Kobus ellipsiprymnus defassa,Kobus ellipsiprymnus,Male,6.682,6.603,6.252,8.067,8.671,7.763,10.548,10.716,10.627,12.203,12.477,11.812,12.408,12.906,12.11,12.769,12.906,12.802
FMNH 1091,Bovidae,Kobus ellipsiprymnus ellipsiprymnus,Kobus ellipsiprymnus,Female,5.396,5.436,5.246,8.564,8.233,8.379,10.663,10.302,10.221,13.583,12.641,13.543,14.181,13.091,13.692,13.418,13.25,12.859
FMNH 7065,Bovidae,Kobus ellipsiprymnus ellipsiprymnus,Kobus ellipsiprymnus,Male,7.511,7.854,8.069,9.734,9.41,9.251,10.207,9.889,9.888,10.944,11.247,10.603,12.185,12.16,12.469,12.275,12.566,12.197
FMNH 24322,Bovidae,Kobus ellipsiprymnus harnieri,Kobus ellipsiprymnus,Male,7.232,6.931,7.133,10.137,9.647,9.344,10.858,10.974,11.11,13.626,13.965,13.524,12.152,13.649,13.612,12.368,11.504,11.531
FMNH 85432 ,Bovidae,Kobus ellipsiprymnus harnieri,Kobus ellipsiprymnus,Male,7.519,7.129,7.071,9.703,9.389,9.39,11.816,11.813,11.662,13.081,14.106,13.276,14.51,13.601,14.934,14.291,13.276,14.399
FMNH 29547,Bovidae,Kobus ellipsiprymnus thikae,Kobus ellipsiprymnus,Male,6.574,6.423,6.274,8.813,9.113,8.964,9.304,9.637,9.495,12.25,11.337,11.998,12.19,12.377,12.188,12.599,12.137,12.573
FMNH 27479,Bovidae,Kobus kob neumanni,Kobus kob,Male,5.198,5.423,5.391,6.699,6.836,6.837,8.037,7.961,7.937,9.948,10.569,9.671,10.397,11.018,10.192,10.408,10.155,10.505
FMNH 27482,Bovidae,Kobus kob neumanni,Kobus kob,Male,4.079,3.853,3.608,5.614,5.614,5.798,7.903,7.366,7.41,10.542,11.065,10.542,11.067,11.283,11.142,10.892,10.549,10.475
FMNH 34468,Bovidae,Kobus leche leche,Kobus leche,Male,5.048,5.543,5.524,6.21,6.805,6.651,8.019,7.652,8.086,9.705,9.812,9.765,9.444,9.812,9.262,9.627,9.861,10.001
FMNH 34469,Bovidae,Kobus leche leche,Kobus leche,Male,4.33,4.139,3.761,6.396,6.002,6.002,7.567,7.834,8.016,8.965,9.251,8.825,9.427,9.489,9.307,10.549,9.89,10.048
FMNH 134555,Bovidae,Kobus megaceros,Kobus megaceros,Male,4.84,4.711,4.767,7.008,7.159,6.819,8.128,7.989,8.273,10.526,10.786,10.618,10.681,11.219,10.957,10.813,11.427,11.32
FMNH 38165,Bovidae,Kobus vardonii vardonii,Kobus vardoni,Male,4.95,4.95,5.08,6.485,6.526,6.384,7.841,7.533,7.559,9.441,9.181,9.483,10.252,9.84,10.443,10.424,10.003,9.912
FMNH 27610,Camelidae,Lama glama guanicoe,Lama guanicoe,Male,,,,,,,5.904,5.568,5.76,11.332,11.205,11.066,12.103,12.248,12.088,12.262,12.221,12.38
FMNH 25608,Camelidae,Lama glama guanicoe,Lama guanicoe,Unknown,,,,,,,6.955,7.122,6.947,12.006,12.305,12.313,13.311,13.315,13.461,13.014,13.014,12.926
FMNH 50776,Camelidae,Lama glama guanicoe,Lama guanicoe,Unknown,,,,,,,7.99,7.99,7.994,11.756,11.941,11.941,13.009,13.024,13.382,12.964,13.184,13.198
FMNH 27602,Camelidae,Lama glama guanicoe,Lama guanicoe,Unknown,,,,,,,7.761,7.813,7.786,12.985,12.734,12.753,13.903,14.133,13.974,13.294,13.032,13.261
FMNH 127690 ,Bovidae,Litcranius walleri walleri,Litocranius walleri,Male,2.539,2.789,2.306,4.529,4.657,4.385,5.034,5.163,5.034,6.729,6.853,6.768,7.383,7.266,7.151,6.853,6.851,6.655
FMNH 1377,Bovidae,Litocranius walleri,Litocranius walleri,Male,2.734,2.882,2.815,3.867,4.004,3.996,4.776,4.642,4.771,6.422,6.549,6.4,6.522,6.488,6.466,6.075,6.488,6.359
FMNH 20670,Bovidae,Litocranius walleri,Litocranius walleri,Male,2.374,2.499,2.374,3.7,4.029,4.337,4.153,4.428,4.56,6.127,5.888,5.85,6.717,6.917,6.729,6.8,6.64,6.729
FMNH 1393,Bovidae,Litocranius walleri sclateri,Litocranius walleri,Male,2.602,2.498,2.372,4.253,4.125,4.381,5.532,6.176,5.789,7.676,7.652,7.775,7.974,8.136,8.014,7.988,7.694,7.822
FMNH 1395,Bovidae,Litocranius walleri sclateri,Litocranius walleri,Male,2.514,2.414,2.499,3.73,3.73,3.608,4.477,4.476,4.339,5.662,5.662,5.827,6.607,6.373,6.448,6.49,6.288,6.695
FMNH 26985,Bovidae,Litocranius walleri walleri,Litocranius walleri,Male,2.579,2.963,2.942,4.715,4.586,4.331,5.483,5.773,5.738,6.426,6.581,6.848,6.247,6.727,7.025,6.687,7.172,7.025
FMNH 32921,Bovidae,Madoqua guentheri guentheri,Madoqua guentheri,Male,2.457,2.582,2.311,3.257,3.257,3.403,4.073,3.909,4.08,4.436,4.436,4.492,4.31,4.189,4.221,4.248,4.191,4.345
FMNH 17785,Bovidae,Madoqua kirkii cavendishi,Madoqua kirkii,Male,2.243,2.009,2.031,2.902,3.046,2.774,3.433,3.562,3.177,4.602,4.632,4.557,4.926,5.05,5.006,4.534,4.736,4.625
FMNH 27000,Bovidae,Madoqua saltiana phillipsi,Madoqua saltiana,Male,1.806,2.063,1.874,2.586,2.33,2.602,2.962,2.959,2.959,3.477,3.477,3.477,3.86,3.989,3.803,3.603,3.605,3.74
