species,specimen_name,Specimen no.,Formation,Locality,Side,Image No.,FO,LO,Repeat,# of meas.,P2_L,P2_W,P3_L,P3_W,P4_L,P4_W,M1_L,M1_W,M2_L,M2_W,M3_L,M3_W,p2_l,p2_w,p3_l,p3_w,p4_l,p4_w,m1_l,m1_w,m2_l,m2_w,m3_l,m3_w,upP,upM,loP,loM,Notes,Notes,Notes
Mesohippus sp.,Mesohippus sp.,PM 1715,,"Pennington Co., SD",,DSC_2945,,,2,11,,,11.08,12.793,11.225,15.089,11.392,14.594,10.771,14.518,10.03,13.212,,,,,,,,,,,,,,31.677,,,Interior; Oligocene White River Series,,
Mesohippus sp.,Mesohippus sp.,PM 1715,,"Pennington Co., SD",,DSC_2945,,,3,11,,,10.8,12.888,11.39,15.067,11.18,14.587,11.185,14.662,9.904,13.21,,,,,,,,,,,,,,31.748,,,Interior; Oligocene White River Series,,
Mesohippus sp.,Mesohippus sp.,UC 253,,"White River Badlands, SD",,DSC_2948,,,1,11,,,,,,,,,,,,,12.482,8.451,11.663,8.124,12.771,9.016,12.165,9.084,12.347,8.996,,,,,37.571,,Oligocene White River series,,
Mesohippus sp.,Mesohippus sp.,UC 253,,"White River Badlands, SD",,DSC_2948,,,2,11,,,,,,,,,,,,,12.44,8.228,11.313,8.317,12.647,9.1,12.406,9.37,12.666,9.054,,,,,37.693,,Oligocene White River series,,
Mesohippus sp.,Mesohippus sp.,UC 253,,"White River Badlands, SD",,DSC_2948,,,3,11,,,,,,,,,,,,,12.651,8.155,11.231,8.242,12.705,9.023,12.403,9.237,12.662,9.112,,,,,37.611,,Oligocene White River series,,
Miohippus obliquidens,Miohippus brachystylus,UC 619,Brule,"White River Badlands, SD",left side,DSC_2951,34.9,30.3,1,14,14.993,16.352,16.32,19.32,15.939,20.738,15.348,20.144,14.541,20.424,13.341,19.118,,,,,,,,,,,,,47.692,42.711,,,Late Oligocene upper Brule,listed as Miohippus obliquidens on paleodb,
Miohippus obliquidens,Miohippus brachystylus,UC 619,Brule,"White River Badlands, SD",left side,DSC_2951,34.9,30.3,2,14,15.005,16.766,16.663,19.313,16.288,20.796,15.396,20.276,14.651,20.063,13.018,19.275,,,,,,,,,,,,,47.56,42.194,,,Late Oligocene upper Brule,,
Miohippus obliquidens,Miohippus brachystylus,UC 619,Brule,"White River Badlands, SD",left side,DSC_2951,34.9,30.3,3,14,15.154,16.757,16.38,19.401,16.102,20.746,15.514,20.065,14.669,20.259,13.093,19.034,,,,,,,,,,,,,47.454,42.218,,,Late Oligocene upper Brule,,
Miohippus obliquidens,Miohippus brachystylus,UC 619,Brule,"White River Badlands, SD",right side,DSC_2951,34.9,30.3,1,14,14.749,16.855,15.961,18.54,15.939,19.933,14.411,20.175,13.946,20.087,13.582,19.137,,,,,,,,,,,,,46.138,41.307,,,Late Oligocene upper Brule,,
Miohippus obliquidens,Miohippus brachystylus,UC 619,Brule,"White River Badlands, SD",right side,DSC_2951,34.9,30.3,2,14,14.79,16.894,15.555,18.535,15.979,19.903,14.309,20.092,14.566,20.147,13.49,18.926,,,,,,,,,,,,,46.308,41.561,,,Late Oligocene upper Brule,,
Miohippus obliquidens,Miohippus brachystylus,UC 619,Brule,"White River Badlands, SD",right side,DSC_2951,34.9,30.3,3,14,14.957,17.054,15.777,18.579,16.025,20.07,14.603,20.012,14.027,20.108,13.789,18.964,,,,,,,,,,,,,46.493,41.667,,,Late Oligocene upper Brule,,
Mesohippus sp.,Mesohippus sp.,UC 324,,"White River Badlands, SD",,DSC_2954,,,1,11,,,,,,,,,,,,,,,11.295,8.384,11.296,8.668,10.134,7.13,10.872,7.231,14.376,6.305,,,,35.011,Oligocene White River series,,
